buildingIDX,Name,elevDiff,slope,dist,elevation,height,floors,year,X,Y,nearest
11,The Ardea,80.8199997,10569.91901493216,10567.098187756084,38.1800003,325,30,2008,7645654.232,674380.6719,5
9,John Ross Tower,81.52000050000001,10868.071696010828,10865.343983485987,37.4799995,325,32,2007,7645734.118,674702.7362,5
15,"The Meriwether, West Building",83.7200012,11011.825210217978,11009.641717263941,35.2799988,303,24,2006,7645938.652,674889.7428,5
24,"The Meriwether, East Building",104.6700001,11060.642850580023,11059.480754502856,14.3299999,265,21,2006,7646140.465,674975.5075,5
10,Mirabella,81.27000050000001,11160.517564879548,11157.855887370506,37.7299995,325,30,2010,7645713.529,674997.1066,5
