buildingIDX,Name,elevDiff,slope,dist,elevation,height,floors,year,X,Y,nearest,dup
3,Park Avenue West,1.469997399999997,1748.871058062608,1687.6907934940778,34.3800011,460,30,2016,7644492.554,684158.5427,4,yes
1,U.S. Bancorp Tower,1.469997399999997,1770.317072765279,1687.6907934940778,34.3800011,536,42,1983,7644492.554,684158.5427,4,yes
14,Moda Tower,-1.75,2699.7166270153803,2681.888290679405,37.5999985,308,24,1999,7644756.614,682591.1555,4,
21,Union Bank Tower,-9.6000023,2737.975580077234,2723.866464388867,45.4500008,268,15,1969,7643615.85,683604.6709,4,
6,Standard Insurance Center,-21.700000700000004,3586.2860946315946,3565.159219726905,57.5499992,367,27,1970,7643902.29,682077.1982,4,
