buildingIDX,Name,elevDiff,slope,dist,elevation,height,floors,year,X,Y,nearest
5,Fox Tower,-22.22000119999999,575.9553763024403,419.89901898618155,76.0100021,372,27,2000,7643183.947,682643.6903,4
6,Standard Insurance Center,-3.7599982999999995,877.9982491665098,795.8755865083692,57.5499992,367,27,1970,7643902.29,682077.1982,4
17,1000 Broadway,-29.339996399999997,860.3140927234948,799.6472127278992,83.1299973,288,23,1991,7643239.794,682074.8077,4
21,Union Bank Tower,8.340000100000005,844.960389697319,804.0738427590946,45.4500008,268,15,1969,7643615.85,683604.6709,4
