buildingIDX,Name,elevDiff,slope,dist,elevation,height,floors,year,X,Y,nearest
10,Mirabella,382.9600029,4177.5873817202555,4177.185292750626,37.7299995,325,30,2010,7645713.529,674997.1066,5
11,The Ardea,382.5100021,4202.621297854969,4202.227786881935,38.1800003,325,30,2008,7645654.232,674380.6719,5
9,John Ross Tower,383.2100029,4226.6053223268445,4226.204461012741,37.4799995,325,32,2007,7645734.118,674702.7362,5
15,"The Meriwether, West Building",385.41000360000004,4410.311967802285,4409.541954063564,35.2799988,303,24,2006,7645938.652,674889.7428,5
24,"The Meriwether, East Building",406.3600025,4606.809737228155,4604.640409924899,14.3299999,265,21,2006,7646140.465,674975.5075,5
